,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
73,24,Tidal Wave Taking Back Sunday,You Can't Look Back,Taking Back Sunday,0.789,0.658,0.0965,0.274,108.012,0,0.0298,49,"['emo', 'modern rock', 'pop punk', 'pop rock', 'screamo']"
74,24,Black Honey Thrice ,Black Honey,Thrice,0.892,0.442,0.0758,0.237,151.914,7.92e-06,0.00267,60,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
75,25,Diljit Do You Know,Do You Know,Diljit Dosanjh,0.796,0.697,0.162,0.312,85.002,0,0.155,51,"['bhangra', 'desi', 'desi hip hop', 'filmi', 'indian folk', 'indian pop', 'modern bollywood', 'punjabi', 'sufi']"
76,25,Mickey Singh Phone,Phone,Mickey Singh,0.693,0.448,0.0815,0.55,91.561,2.02e-06,0.127,57,['desi hip hop']
77,25,Travis Scott Through the Late Night,through the late night,Travis Scott,0.589,0.744,0.119,0.242,127.051,0,0.36,72,"['pop', 'pop rap', 'rap']"
78,26,Cold Water,Cold Water,Major Lazer,0.797,0.602,0.187,0.492,92.928,0,0.055,73,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']"
79,26,One dance ,One Dance,Drake,0.61,0.796,0.351,0.391,103.99,0.00286,0.00842,85,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
80,26,24K Magic,24K Magic,Bruno Mars,0.803,0.818,0.153,0.632,106.97,0,0.034,81,"['pop', 'post-teen pop']"
81,27,Fake Love Drake,Fake Love,Drake,0.488,0.927,0.196,0.605,133.987,0,0.108,79,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
82,27,Goosebumps Travis Scott ,goosebumps,Travis Scott,0.728,0.841,0.149,0.43,130.049,0,0.0847,87,"['pop', 'pop rap', 'rap']"
83,27,Deuces Chris Brown ,Deuces,Chris Brown,0.739,0.644,0.0772,0.231,74.154,0,0.0311,62,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
84,28,Perfect Illusion Lady GaGa,Perfect Illusion,Lady Gaga,0.855,0.625,0.357,0.668,124.977,0,0.00138,71,"['dance pop', 'pop', 'post-teen pop']"
85,28,Me Too Meghan Trainor,Me Too,Meghan Trainor,0.694,0.934,0.478,0.835,123.829,1.2e-06,0.0962,74,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']"
86,28,Uptown Funk Mark Ronson ft Bruno Mars,Uptown Funk - Radio Instrumental,Kar Play,0.569,0.899,0.0419,0.516,115.019,0.589,0.000898,10,[]
87,29,Cold Water By Major Lazer justin bieber,Cold Water (Karaoke Piano Backing Track) [Originally Performed by Major Lazer & Justin Bieber],PianoNest,0.172,0.567,0.24,0.198,93.009,0.923,0.993,2,[]
88,29,Count on me By Bruno Mars,Count On Me - Originally By Bruno Mars,Leopard Powered,0.16,0.569,0.107,0.12,177.961,0.937,0.976,0,[]
89,29,Treat you Better Shawn Mendes,Treat You Better,Shawn Mendes,0.819,0.444,0.107,0.747,82.695,0,0.106,85,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
90,30,Chain Gang Sam Cooke,Chain Gang,Sam Cooke,0.661,0.698,0.228,0.824,131.808,0,0.636,58,"['adult standards', 'brill building pop', 'christmas', 'classic soul', 'rock-and-roll', 'soul']"
91,30,After Laughter Wendy Rene,After Laughter (Comes Tears) - Wendy Rene,Wendy Rene,0.211,0.428,0.0884,0.402,185.239,5.58e-06,0.182,50,"['memphis soul', 'southern soul']"
92,30,Put me Thru Anderson Paak,Put Me Thru,Anderson .Paak,0.789,0.732,0.123,0.607,107.978,3.11e-05,0.0459,60,"['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']"
93,31,Bombae fuse odg,BomBae,Fuse ODG,0.929,0.852,0.563,0.636,110.679,4.93e-06,0.0614,52,"['afrobeats', 'azonto', 'dance pop', 'grime']"
94,31,Salute jassi sidhu,Salute,Jassi Sidhu,0.963,0.754,0.0753,0.863,87.97,2.34e-05,0.064,30,"['bhangra', 'desi', 'desi hip hop', 'indian pop', 'punjabi']"
95,31,Fake love drake,Fake Love,Drake,0.488,0.927,0.196,0.605,133.987,0,0.108,79,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
96,32,A.I. OneRepublic,A.I.,OneRepublic,0.671,0.7,0.114,0.246,117.962,0.215,0.0859,52,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
97,32,Symphony Zeds Dead,Symphony,Zeds Dead,0.724,0.498,0.157,0.384,145.908,6.75e-06,0.281,48,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
98,32,Star Boy The Weeknd and Daft Punk,Star Boy The Weeknd and Daft Punk,,,,,,,,,,
99,33,Closer The Chainsmokers,Closer,The Chainsmokers,0.524,0.748,0.111,0.661,95.01,0,0.414,88,"['edm', 'electropop', 'pop', 'tropical house']"
100,33,Don't Wanna Know Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.61,0.783,0.0983,0.418,100.047,0,0.343,74,['pop']
101,33,I only listen to 2 songs all day,I only listen to 2 songs all day,,,,,,,,,,
102,34,Rhinestone Cowboy Madvillain,Rhinestone Cowboy,Madvillain,0.688,0.312,0.321,0.39,141.7,0.00162,0.298,49,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
103,34,N.Y. State of mind Nas,N.Y. State of Mind,Nas,0.91,0.665,0.227,0.887,84.099,0,0.0394,65,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
104,34,Ultralight Beam Kanye West,Ultralight Beam,Kanye West,0.393,0.596,0.539,0.36,107.425,0,0.637,73,"['pop rap', 'rap']"
105,35,Find me kings of leon,Find Me,Kings of Leon,0.946,0.4,0.155,0.611,161.591,0.853,0.000136,66,"['garage rock', 'indie rock', 'modern rock', 'rock']"
106,35,Go with the flow the Queens of the stone age,Go With The Flow,Queens of the Stone Age,0.991,0.248,0.834,0.398,159.37,0.0462,0.0115,59,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']"
107,35,Bored to death Blink 182,Bored To Death,blink-182,0.966,0.502,0.117,0.638,159.948,1.56e-06,0.00575,63,"['modern rock', 'pop punk', 'punk']"
108,36,Breaking the chain Sum 41,Breaking The Chain,Sum 41,0.93,0.553,0.0673,0.538,123.201,0.0582,0.00034,51,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']"
109,36,Cutting shapes Don Diablo,Cutting Shapes,Don Diablo,0.91,0.668,0.0937,0.577,125.812,0,0.0254,65,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
110,36,Middle DJ snake,Middle,DJ Snake,0.701,0.586,0.055,0.254,104.957,0,0.0203,79,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
111,37,starboy the weeknd,Starboy,The Weeknd,0.588,0.678,0.137,0.486,186.005,6.35e-06,0.141,85,"['canadian pop', 'pop', 'rap']"
112,37,shameless the weeknd,Shameless,The Weeknd,0.562,0.603,0.109,0.244,100.038,0,0.146,70,"['canadian pop', 'pop', 'rap']"
113,37,dark times the weeknd,Dark Times,The Weeknd,0.403,0.501,0.124,0.27,132.608,1.1e-05,0.114,72,"['canadian pop', 'pop', 'rap']"
114,38,Someday The Strokes,Someday,The Strokes,0.52,0.538,0.367,0.678,106.031,0,0.00425,69,"['alternative rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
115,38,Sedone Houndmouth,Sedone Houndmouth,,,,,,,,,,
116,38,The Grand Optimist City and Colour,The Grand Optimist City and Colour,,,,,,,,,,
117,39,Perfect Illusion Lady Gaga,Perfect Illusion,Lady Gaga,0.855,0.625,0.357,0.668,124.977,0,0.00138,71,"['dance pop', 'pop', 'post-teen pop']"
