id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
94,128.6616667,Medium-Fast,0.100833333,Low,0.755666667,High,0.732,High,0.799333333,High,0.304433333,High,0.000428,Low,3,3,5,4,5,20,Medium,Female,18 - 30,2+ hours,High,No,0
95,109.513,Medium-Slow,0.3215,High,0.578,High,0.4825,Low,0.7465,High,0.323585,High,0.000461515,Low,2,3,5,2,5,17,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,1
96,108.2976667,Medium-Slow,0.135,Low,0.385666667,Low,0.511333333,Low,0.632,High,0.374133333,High,0.000175333,Low,3,3,4,2,3,15,Medium,Female,18 - 30,0 - 1 hours,Low,No,0
97,97.5135,Medium-Slow,0.145,Low,0.4925,High,0.5435,Low,0.738,High,0.5175,High,0,Low,2,3,2,2,3,12,Medium,Female,18 - 30,2+ hours,High,Yes,1
98,110.1506667,Medium-Slow,0.330666667,High,0.390666667,Low,0.604666667,Low,0.577666667,Low,0.160466667,Low,0.013868133,Low,5,4,5,4,6,24,High,Female,18 - 30,2+ hours,High,No,0
99,93.44,Medium-Slow,0.114,Low,0.339,Low,0.477,Low,0.747,High,0.0962,Low,0,Low,4,3,5,4,4,20,Medium,Female,18 - 30,2+ hours,High,No,2
100,107.6446667,Medium-Slow,0.266,High,0.418333333,Low,0.766666667,High,0.663333333,High,0.02149,Low,0.00082,Low,5,5,5,5,5,25,High,Male,18 - 30,0 - 1 hours,Low,No,0
101,116.9365,Medium-Fast,0.21395,High,0.3695,Low,0.74,High,0.7425,High,0.009325,Low,0.001231025,Low,3,4,4,3,5,19,Medium,Female,18 - 30,1-2 hours,Medium,Yes,1
102,133.019,Fast,0.116666667,Low,0.487666667,High,0.727333333,High,0.679666667,High,0.1008,Low,0.000335753,Low,2,4,5,4,5,20,Medium,Female,18 - 30,2+ hours,High,No,0
103,141.6506667,Fast,0.399,High,0.305333333,Low,0.890666667,High,0.541,Low,0.000396,Low,0.035428,Low,5,2,5,1,1,14,Medium,Female,18 - 30,2+ hours,High,No,0
104,126.8715,Medium-Fast,0.118,Low,0.3533,Low,0.3795,Low,0.753,High,0.436,High,0,Low,2,2,4,2,6,16,Medium,Male,18 - 30,1-2 hours,Medium,No,1
105,114.4533333,Medium-Fast,0.154533333,Low,0.323333333,Low,0.837,High,0.547,Low,0.368066667,High,0.612683267,High,2,4,2,3,6,17,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
106,138.72,Fast,0.114833333,Low,0.464,High,0.482,Low,0.663,High,0.491666667,High,0.00000183,Low,5,6,6,4,5,26,High,Male,18 - 30,1-2 hours,Medium,No,0
107,141.6733333,Fast,0.116333333,Low,0.272,Low,0.455666667,Low,0.477666667,Low,0.436,High,0,Low,2,3,3,2,4,14,Medium,Female,18 - 30,1-2 hours,Medium,No,0
108,166.634,Fast,0.122033333,Low,0.266333333,Low,0.773333333,High,0.334666667,Low,0.003586,Low,0.010992667,Low,3,2,3,2,4,14,Medium,Male,18 - 30,2+ hours,High,No,0
109,146.6846667,Fast,0.349,High,0.343,Low,0.941,High,0.504,Low,0.000205067,Low,0.065443333,High,4,2,2,2,3,13,Medium,Female,18 - 30,2+ hours,High,No,0
110,97.805,Medium-Slow,0.1224,Low,0.7435,High,0.8255,High,0.757,High,0.01819,Low,0,Low,3,4,4,3,2,16,Medium,Female,18 - 30,2+ hours,High,No,1
111,124.979,Medium-Fast,0.213,High,0.539,High,0.4605,Low,0.8255,High,0.1726,Low,0.00329,Low,4,5,6,4,4,23,High,Female,18 - 30,0 - 1 hours,Low,No,1
112,119.054,Medium-Fast,0.291,High,0.497,High,0.571,Low,0.743,High,0.24,High,0,Low,6,6,6,6,6,30,High,Male,18 - 30,2+ hours,High,Yes,2
113,91.2875,Medium-Slow,0.1585,Low,0.407,Low,0.534,Low,0.461,Low,0.4055,High,0,Low,3,3,3,3,4,16,Medium,Male,18 - 30,1-2 hours,Medium,Yes,1
114,117.0073333,Medium-Fast,0.214033333,High,0.421666667,Low,0.663666667,High,0.717,High,0.1671,Low,0.001194797,Low,4,4,2,5,5,20,Medium,Male,18 - 30,0 - 1 hours,Low,Yes,0
115,142.224,Fast,0.0921,Low,0.629,High,0.462,Low,0.681,High,0.311,High,0.000056,Low,6,2,4,0,3,15,Medium,Female,18 - 30,2+ hours,High,Yes,1
116,148.47,Fast,0.207333333,High,0.608666667,High,0.714666667,High,0.689,High,0.273766667,High,0.00000183,Low,2,3,4,4,2,15,Medium,Female,18 - 30,1-2 hours,Medium,Yes,0
117,108.3186667,Medium-Slow,0.137666667,Low,0.460333333,High,0.745333333,High,0.714,High,0.044546667,Low,0.000907937,Low,5,2,5,4,6,22,High,Female,18 - 30,2+ hours,High,No,0
118,105.456,Medium-Slow,0.197666667,High,0.352,Low,0.649,High,0.741333333,High,0.0954,Low,0,Low,4,5,4,6,4,23,High,Male,18 - 30,0 - 1 hours,Low,No,0
119,132.0223333,Fast,0.133666667,Low,0.409666667,Low,0.693333333,High,0.711,High,0.095,Low,1.48E-05,Low,6,4,4,4,2,20,Medium,Male,18 - 30,0 - 1 hours,Low,No,0
120,112.6066667,Medium-Fast,0.232433333,High,0.217333333,Low,0.915,High,0.355666667,Low,0.000733833,Low,0.492500333,High,2,3,2,4,4,15,Medium,Male,18 - 30,2+ hours,High,Yes,0
121,119.554,Medium-Fast,0.158666667,Low,0.536666667,High,0.719,High,0.595,Low,0.269333333,High,0,Low,5,5,4,5,5,24,High,Male,18 - 30,0 - 1 hours,Low,No,0
122,115.6866667,Medium-Fast,0.122333333,Low,0.351,Low,0.573,Low,0.75,High,0.169156667,Low,0.011586667,Low,3,2,5,4,6,20,Medium,Male,18 - 30,0 - 1 hours,Low,Yes,0
