tempo,popularity,energy,health_categorical
120.68,54.66666667,0.696333333,High-Health
125.4386667,49.33333333,0.555,Low-Health
144.3296667,74.66666667,0.513,Low-Health
122.2273333,41.66666667,0.588,Medium-Health
136.341,65,0.76,Low-Health
128.0716667,55.66666667,0.498333333,Low-Health
133.301,65.33333333,0.697666667,High-Health
126.2336667,48.66666667,0.680333333,Low-Health
116.7053333,33.33333333,0.6,Low-Health
119.3533333,50,0.57,Medium-Health
115.6283333,68,0.538,Low-Health
149.2636667,48.33333333,0.552666667,High-Health
135.3413333,26.66666667,0.747333333,High-Health
109.4906667,54.66666667,0.514333333,Low-Health
118.6293333,60,0.829666667,High-Health
114.639,58.33333333,0.756666667,Medium-Health
145.687,54.33333333,0.886,Medium-Health
126.1693333,27.33333333,0.572666667,Medium-Health
109.3273333,45.66666667,0.500666667,High-Health
153.5766667,48.66666667,0.648,High-Health
88.274,19.33333333,0.527333333,Low-Health
137.7936667,54.66666667,0.790666667,High-Health
148.514,64.33333333,0.731666667,Medium-Health
116.338,48,0.678,Medium-Health
124.3013333,49.33333333,0.928666667,Medium-Health
107.22,42.33333333,0.496333333,Low-Health
111.5563333,60.66666667,0.715666667,Medium-Health
